Valid Taxon,Valid Taxon label,pelvic fin,pectoral fin,pelvic sucking disc
VTO:0035722,Osteogeneiosus militaris,1,1,?
VTO:0037156,Isbrueckerichthys alipionis,1,1,?
VTO:0035726,Bagre marinus,1,1,?
VTO:0057514,Sudis hyalina,1,1,?
VTO:0035859,Hoplomyzon sexpapilostoma,1,1,?
VTO:0055860,Paralichthys squamilentus,1,?,?
VTO:0080207,Humbertia sp. (Arratia 1999),1,1,?
VTO:0038484,Prochilodus lineatus,1,1,?
VTO:0060547,Centromochlus sp. (Rio Negro) (Royero 1999),1,1,?
VTO:0060543,Centromochlus n. sp. (Royero 1999),1,1,?
VTO:0074647,Blennodesmus,0 and 1,1,0
VTO:0037289,Dekeyseria pulchra,1,1,?
VTO:0079948,Chlorophthalmus atlanticus,1,1,?
VTO:0036924,Pseudotothyris obtusa,?,1,?
VTO:0040401,Notropis bairdi,1,1,?
VTO:0074565,Rusichthys,0 and 1,1,0
VTO:0046015,Coryphaena equiselis,1,1,?
VTO:0037151,Lithogenes villosus,1,1,?
VTO:0061876,Mochokus niloticus,1,1,?
VTO:0060546,Centromochlus romani,1,1,?
VTO:0060542,Centromochlus schultzi,?,1,?
VTO:0060679,Astroblepus longifilis,1,1,?
VTO:0060675,Astroblepus whymperi,1,1,?
VTO:0060413,Loricariidae sp. (Mo 1991),1,1,?
VTO:0034528,Saccopharyngidae,0,1,0
VTO:0079814,Synodus scituliceps,1,1,?
VTO:0046014,Coryphaena hippurus,1,1,?
VTO:0061744,Amblyceps laticeps,?,1,?
VTO:0062120,Sternarchogiton sp. B (Albert 2001),0,1,0
VTO:0061877,Mochokus brevis,1,1,?
VTO:0056375,Lophiiformes,0 and 1,?,0
VTO:0066156,Rhabdalestes rhodesiensis,1,1,?
VTO:0074560,Halimuraena,0 and 1,1,0
VTO:0066023,Citharinus sp. (Sidlauskas and Vari 2008),1,?,?
VTO:0060541,Centromochlus megalops,1,1,?
VTO:0040403,Notropis atrocaudalis,1,1,?
VTO:0034658,Hyperlophus vittatus,1,?,?
VTO:0040536,Phenacobius crassilabrum,1,1,?
VTO:0059914,Leporacanthicus galaxias,1,1,?
VTO:0069964,Spinacanthus cuneiformis,0,?,0
VTO:0060677,Astroblepus sp. (de Pinna 1993),1,?,?
VTO:0060673,Astroblepus sp. (Britto 2003),?,1,?
VTO:0037157,Isbrueckerichthys duseni,1,1,?
VTO:0061879,Brachysynodontis batensoda,1,1,?
VTO:0052436,Trichiuridae,0 and 1,?,0
VTO:0040404,Notropis braytoni,1,1,?
VTO:0040400,Notropis anogenus,1,1,?
VTO:0054071,Cyprinodontiformes,0 and 1,?,0
VTO:0060548,Centromochlus reticulatus,?,1,?
VTO:0065571,Odontostilbe mitoptera,1,?,?
VTO:0034314,Echiophis punctifer,0,?,0
VTO:0069837,Eotetraodon pygmaeus,0,?,0
VTO:0038489,Semaprochilodus insignis,1,?,?
VTO:0069835,Zignoichthys oblongus,0,?,0
VTO:0041730,Stephanoberyciformes,0 and 1,?,0
VTO:0035856,Pterobunocephalus depressus,?,1,?
VTO:0042095,Balistapus undulatus,1,?,?
VTO:0035851,Bunocephalus coracoideus,1,1,?
VTO:0065441,Iotabrycon praecox,1,?,?
VTO:0057510,Lestidium atlanticum,1,1,?
