Valid Taxon,Valid Taxon label,sesamoid bone of manus,carpal bone,metacarpal bone,humerus,ulna,radius bone,centrale (fore),ulnare,phalanx of manus,intermedium,radiale
VTO:0002636,Spea hammondii,?,1,?,1,?,?,?,1,?,?,?
VTO:0002790,Rana pipiens,0,1,1,1,?,?,?,?,1,?,?
VTO:9030270,Eurycephalella alcinae,?,1,?,?,?,?,?,1,1,?,?
VTO:0083113,Paracassina kounhiensis,1,1,?,?,?,?,?,?,1,?,?
VTO:0012274,Oryctolagus cuniculus,1,1,1,1,1,1,?,?,1,?,?
VTO:9001060,Urocordylus wandesfordii,?,0,1,1,1,1,0,0,?,0,0
VTO:9003293,Seymouria baylorensis,?,1 and 0,?,1,1,1,0,0,?,0,0
VTO:0003375,Pyxicephalus adspersus,0,1,1,1,?,?,?,1,1,?,?
VTO:0084008,Callulops doriae,?,1,?,?,?,?,?,1,1,?,?
VTO:0003371,Aubria subsigillata,0,1,1,1,?,?,?,1,1,?,?
VTO:9010144,Edaphosaurus,?,1,?,1,1,1,1,?,?,?,?
VTO:9010139,Dimetrodon,?,1,1,1,?,1,1,1,?,?,?
VTO:0007889,Ichthyophiidae,?,?,?,0,0,0,?,?,0,?,?
VTO:0002482,Xenopus wittei,?,1,?,1,?,?,?,1,?,?,?
VTO:0002635,Spea multiplicata,?,1,?,1,?,?,?,1,?,?,?
VTO:0002639,Pelobates,?,1,?,1,1,1,?,1,1,?,?
VTO:9030400,Aetosaurus ferratus,?,1,1,1,1,1,?,1,1,?,?
VTO:0003364,Conraua,?,1,?,?,?,?,?,1,1,?,?
VTO:9029845,Plateosaurus engelhardti,?,1,1,1,1,1,0,1,1,?,?
VTO:0002638,Spea intermontana,?,1,?,1,?,?,?,1,?,?,?
VTO:9030272,Arariphrynus placidoi,?,1,?,?,?,?,?,1,?,?,?
VTO:0003367,Conraua crassipes,0,1,1,1,?,?,?,1,1,?,?
VTO:9017322,Mastodonsauridae,?,?,?,1,?,?,?,?,?,?,?
VTO:0002634,Spea,?,1,?,1,?,?,?,1,1,?,?
VTO:9046489,Hynerpeton bassetti,?,1,?,?,?,1,?,1,?,?,?
VTO:0002856,Amolops ricketti,0,1,1,1,?,?,?,?,1,?,?
VTO:0003373,Pyxicephalus edulis,0,1,1,?,?,?,?,?,1,?,?
VTO:0004569,Telmatobufo,?,1,?,?,?,?,?,1,1,?,?
VTO:9028135,Confuciusornis sanctus,?,1,1,1,1,1,?,1,1,1,?
VTO:9029488,Ticinosuchus ferox,?,1,1,1,1,1,0,1,1,?,?
VTO:0002210,Anura,?,1,?,1,1,1,1,1,?,?,1
VTO:9000666,Brachydectes,?,0,?,1,1,1,0,0,?,0,0
VTO:0002637,Spea bombifrons,?,1,?,1,?,?,?,1,1,?,?
VTO:0003366,Conraua goliath,0,1,1,?,?,?,?,?,1,?,?
VTO:9017456,Archeria,?,?,1,1,1,1,?,?,?,?,?
VTO:9025078,Longosuchus meadei,?,1,1,1,1,1,0,1,1,?,?
VTO:0002590,Xenophrys aceras,?,1,?,1,?,?,?,1,?,?,?
VTO:0003965,Guibemantis liber,?,1,1,?,?,?,?,1,1,?,?
VTO:0009590,Nycteris thebaica,1,1,1,1,1,1,?,?,?,?,?
VTO:9000719,Platyrhinops lyelli,?,0,?,1,1,1,0,0,?,0,0
VTO:0007337,Melanophryniscus stelzneri,?,1,?,?,?,?,?,1,1,?,?
VTO:0008725,Manis pentadactyla,1,1,1,1,1,1,?,?,1,?,?
VTO:9004123,Archaeorhynchus spathula,?,1,1,1,1,1,?,?,1,1,?
VTO:0007428,Rhinella atacamensis,?,?,?,?,?,?,?,?,1,?,?
VTO:9000671,Balanerpeton woodi,?,1,1,1,1,1,?,?,?,?,?
VTO:9005643,Velociraptor mongoliensis,?,1,1,1,1,1,0,1,1,?,?
VTO:0010969,Lama glama,1,1,1,1,1,1,?,?,1,?,?
VTO:0007645,Leptodactylus bufonius,1,1,?,?,?,?,?,1,1,?,?
VTO:9020299,Terrestrisuchus gracilis,?,1,1,1,1,1,0,1,1,?,?
VTO:9032047,Protopteryx fengningensis,?,1,1,1,1,1,?,?,1,1,?
VTO:9010863,Carodnia vieirai,1,1,1,1,1,1,?,?,1,?,?
VTO:0011065,Bos taurus,1,1,1,1,1,1,?,?,1,?,?
VTO:0005540,Oreobates quixensis,1,1,1,?,?,?,?,?,?,?,?
VTO:0083486,Leptodactylus latrans,?,1,?,?,?,?,?,1,1,?,?
VTO:0005301,Cycloramphus fuliginosus,1,1,1,?,?,?,?,?,?,?,?
VTO:9000203,Poposaurus gracilis,?,1,1,1,1,1,0,1,1,?,?
VTO:0010811,Felis silvestris,1,1,1,1,1,1,?,?,1,?,?
VTO:0083114,Paracassina obscura,1,1,?,?,?,?,?,?,1,?,?
VTO:0006445,Litoria lesueurii,?,1,?,?,?,?,?,1,1,?,?
VTO:9004696,Sauropodiformes,?,?,1,?,?,?,?,?,1,?,?
VTO:0002488,Hymenochirus boettgeri,?,1,?,1,?,?,?,1,1,?,?
VTO:9029041,Onychonycteris finneyi,?,1,1,1,1,1,?,?,1,?,?
VTO:0007644,Leptodactylus chaquensis,?,1,?,?,?,?,?,1,1,?,?
VTO:0003422,Tomopterna marmorata,0,?,1,1,?,?,?,?,1,?,?
VTO:0011620,Galeopterus variegatus,1,1,1,1,1,1,?,?,1,?,?
VTO:9007897,Eoraptor lunensis,?,1,1,1,1,1,0,1,1,?,?
VTO:0015584,Tachyglossus aculeatus,1,1,1,1,1,1,?,?,1,?,?
VTO:9031057,Heterodontosaurus tucki,?,1,1,1,1,1,?,1,1,?,?
VTO:0002729,Rana temporaria,?,1,?,?,?,?,?,1,1,?,?
VTO:0003942,Buergeria japonica,?,1,1,?,?,?,?,?,?,?,?
VTO:0007750,Lepidobatrachus,?,1,?,?,?,?,?,1,1,?,?
VTO:0002659,Bombina variegata,?,1,?,1,?,?,?,1,1,?,?
VTO:0006528,Phyllomedusa sauvagii,?,1,?,?,?,?,?,1,1,?,?
VTO:9006500,Batrachotomus kupferzellensis,?,?,?,1,1,1,?,?,?,?,?
VTO:0082180,Phrynobatrachus sulfureogularis,?,1,?,?,?,?,?,1,1,?,?
VTO:9016319,Limenavis patagonica,?,1,1,1,1,?,?,?,1,1,?
VTO:0008138,Trichechus manatus,?,1,1,1,1,1,?,?,1,?,?
VTO:0007751,Lepidobatrachus laevis,?,1,?,?,?,?,?,1,1,?,?
VTO:0004304,Mantella aurantiaca,?,1,1,1,?,?,?,?,1,?,?
VTO:9028138,Confuciusornis dui,?,1,1,1,1,1,?,?,1,1,?
VTO:0082948,Anhydrophryne hewitti,0,1,1,1,?,?,?,?,1,?,?
VTO:0082861,Leptodactylodon ventrimarmoratus,1,1,1,1,?,?,?,?,1,?,?
VTO:9004239,Cardiocephalus peabodyi,?,1,?,1,?,1,?,?,?,?,?
VTO:9015174,Thomashuxleya,1,1,1,1,1,1,?,?,1,?,?
VTO:9007710,Hesperosuchus,?,1,1,1,1,1,0,1,1,?,?
VTO:0083482,Lepidobatrachus llanensis,?,1,?,?,?,?,?,1,1,?,?
VTO:9008241,Tropidosuchus romeri,?,?,?,1,?,?,0,?,?,?,?
VTO:9005238,Zhangheotherium quinquecuspidens,1,1,1,1,1,1,?,?,1,?,?
VTO:9032270,Postosuchus alisonae,?,1,1,1,1,1,0,1,1,?,?
VTO:0008268,Loxodonta africana,1,1,1,1,1,1,?,?,1,?,?
VTO:0015581,Ornithorhynchus anatinus,1,1,1,1,1,1,?,?,1,?,?
VTO:0004086,Mantidactylus femoralis,0,1,1,1,?,?,?,?,1,?,?
VTO:0011618,Cynocephalus volans,1,1,1,1,1,1,?,?,1,?,?
VTO:0007754,Hemiphractus,?,1,?,?,?,?,?,1,1,?,?
