uuid,vto,vto_label,genus,specificepithet,lat,lon
,http://purl.obolibrary.org/obo/VTO_0063849,Acheilognathus intermedius (Siebert 1987),,,,
,http://purl.obolibrary.org/obo/VTO_0058561,Acipenseridae,,,,
,http://purl.obolibrary.org/obo/VTO_0033978,Albulidae,,,,
3186e6a1-6960-4fab-a7fe-c9a6760b769c,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
1c5cdfbf-278f-4f01-91c4-afde7f79adeb,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
ab39be63-4f60-4b86-8d4d-d91059f1e0ab,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
5ce79b84-46ac-46ed-a1e1-9573965ec30e,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,47.2589,102.786
0c8b1c5d-fb11-4b80-9e56-bce38e965f85,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
5653f24d-ae7b-44d8-a186-2641926f2d63,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,37.5985,126.9783
55070663-4963-4563-b230-d92c84593b6c,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,47.2808,98.5425
c4470e36-4bca-4013-9b67-343974a9ebfb,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,47.5847,101.212
a7d25dfa-1260-4b1e-a6ab-4981b72dab85,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
7a77dd4c-9517-49d7-aeca-e4c4eee590ca,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
780e0b13-3940-471c-8ce0-a3052e0641ad,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
9dc415a9-3ebc-42a4-a97d-672ff9420566,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,38.721389,125.410556
c6e9adea-4226-48bb-9d4c-e3fedc691893,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,48.0246,99.8764
22686758-f214-4250-b953-5341aefc8c3c,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
9b5e397b-de1f-4565-8291-ce3e7e4c246e,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,43.7666666666667,142.366666666667
7208a95f-4759-467c-814b-a71ad5d103d1,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,47.7777,100.858
3186e6a1-6960-4fab-a7fe-c9a6760b769c,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
1c5cdfbf-278f-4f01-91c4-afde7f79adeb,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
ab39be63-4f60-4b86-8d4d-d91059f1e0ab,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
5ce79b84-46ac-46ed-a1e1-9573965ec30e,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,47.2589,102.786
0c8b1c5d-fb11-4b80-9e56-bce38e965f85,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
5653f24d-ae7b-44d8-a186-2641926f2d63,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,37.5985,126.9783
55070663-4963-4563-b230-d92c84593b6c,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,47.2808,98.5425
c4470e36-4bca-4013-9b67-343974a9ebfb,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,47.5847,101.212
a7d25dfa-1260-4b1e-a6ab-4981b72dab85,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
7a77dd4c-9517-49d7-aeca-e4c4eee590ca,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
780e0b13-3940-471c-8ce0-a3052e0641ad,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
9dc415a9-3ebc-42a4-a97d-672ff9420566,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,38.721389,125.410556
c6e9adea-4226-48bb-9d4c-e3fedc691893,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,48.0246,99.8764
22686758-f214-4250-b953-5341aefc8c3c,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
9b5e397b-de1f-4565-8291-ce3e7e4c246e,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,43.7666666666667,142.366666666667
7208a95f-4759-467c-814b-a71ad5d103d1,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,47.7777,100.858
3186e6a1-6960-4fab-a7fe-c9a6760b769c,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
1c5cdfbf-278f-4f01-91c4-afde7f79adeb,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
ab39be63-4f60-4b86-8d4d-d91059f1e0ab,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,,
5ce79b84-46ac-46ed-a1e1-9573965ec30e,http://purl.obolibrary.org/obo/VTO_0041178,Barbatula toni,barbatula,toni,47.2589,102.786
