vto_short,vto_label,tok1,tok2,uuid,family,genus,specificepithet,lat,lon,char_sesamoid_bone_of_manus,char_carpal_bone,char_metacarpal_bone,char_humerus,char_ulna,char_radius_bone,char_centrale_fore,char_ulnare,char_phalanx_of_manus,char_intermedium,char_radiale,char_pelvic_fin,char_pectoral_fin,char_pelvic_sucking_disc
VTO:0007309,Bufo bufo,bufo,bufo,af3926ad-3be8-4a3e-ab77-13977e996ca9,bufonidae,bufo,bufo,40.81000000000001,-80.9,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0007362,Anaxyrus fowleri,anaxyrus,fowleri,47b9e6db-b470-4db3-80ef-155e6f6bfc10,bufonidae,anaxyrus,fowleri,38.82,-86.51,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0001480,Sirenidae,sirenidae,,b8fa72f2-e7c3-4480-bc37-7e352909681d,sirenidae,siren,intermedia,29.650000000000002,-82.32,?,?,?,1,1,1,?,?,?,?,?,,,
VTO:0007309,Bufo bufo,bufo,bufo,963bc76d-800d-445c-aef9-686073054cd5,bufonidae,bufo,bufo,37.31,-77.51,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0007450,Rhinella margaritifera,rhinella,margaritifera,f24eaf5e-04f6-4731-83b3-cfaab3410652,bufonidae,rhinella,margaritifera,-10.43,-71.26,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0007309,Bufo bufo,bufo,bufo,6fd511eb-9e77-4a10-8bed-1611e47312a7,bufonidae,bufo,bufo,37.31,-77.51,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0007309,Bufo bufo,bufo,bufo,34b55ec0-9043-47a4-9596-bd177dc75b4d,bufonidae,bufo,bufo,37.31,-77.51,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0007309,Bufo bufo,bufo,bufo,f6cf47aa-9323-45bc-ad50-7e051f93d98c,bufonidae,bufo,bufo,37.31,-77.51,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0007362,Anaxyrus fowleri,anaxyrus,fowleri,06e6d054-fdd3-41e7-a4ee-b06647457fda,bufonidae,anaxyrus,fowleri,37.18,-76.47,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0007362,Anaxyrus fowleri,anaxyrus,fowleri,8d68302f-4422-4e56-945a-88805a8fb668,bufonidae,anaxyrus,fowleri,37.18,-76.47,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0007362,Anaxyrus fowleri,anaxyrus,fowleri,dcdd39d7-a291-4946-b91b-f8c5ef55851b,bufonidae,anaxyrus,fowleri,37.18,-76.47,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0001480,Sirenidae,sirenidae,,a0657b6f-5929-45f8-9a7b-b6d608e64a79,sirenidae,siren,lacertina,38.07,-77.31,?,?,?,1,1,1,?,?,?,?,?,,,
VTO:0055872,Psettodes erumei,psettodes,erumei,1c7b7376-e51a-4997-9030-e09b2f4283ee,psettodidae,psettodes,erumei,10.0683,50.965,,,,,,,,,,,,1,?,?
VTO:0034009,Muraenidae,muraenidae,,c0621673-4505-4df1-bebb-0ea091db2b57,muraenidae,gymnothorax,pindae,-9.7983,165.088,,,,,,,,,,,,0,0,0
VTO:0007256,Pseudepidalea viridis,pseudepidalea,viridis,540bf838-d210-4ee7-ba7b-bca802e20364,bufonidae,pseudepidalea,viridis,30.4556,30.172200000000004,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0056977,Batrachoididae,batrachoididae,,7192ec90-178a-45a6-9c5d-0c17f331cdf1,batrachoididae,,,33.46683,-74.73333,,,,,,,,,,,,1,1,?
VTO:0057008,Opsanus tau,opsanus,tau,6aaf0758-0fd4-4c77-88a1-fe2e87aee4ee,batrachoididae,opsanus,tau,41.19194,-71.05825,,,,,,,,,,,,1,?,?
VTO:0056977,Batrachoididae,batrachoididae,,6aaf0758-0fd4-4c77-88a1-fe2e87aee4ee,batrachoididae,opsanus,tau,41.19194,-71.05825,,,,,,,,,,,,1,1,?
VTO:0011432,Tursiops truncatus,tursiops,truncatus,cc52de54-f073-49c4-8f5a-755d6f58fcdf,delphinidae,tursiops,truncatus,4.56683,-82.84983,?,?,1,1,1,1,?,?,1,?,?,,,
VTO:0008079,Tamandua tetradactyla,tamandua,tetradactyla,0cdb42cd-a911-4ee5-8038-45e0717abc76,myrmecophagidae,tamandua,tetradactyla,-12.8833333,-69.2833333,1,1,1,1,1,1,?,?,1,?,?,,,
VTO:0003392,Amietia angolensis,amietia,angolensis,9b2d9670-a6b1-467f-ae64-f26c31bf33a5,pyxicephalidae,amietia,angolensis,-8.5166667,35.1666667,0,1,1,1,?,?,?,1,1,?,?,,,
VTO:0006671,Hypsiboas lanciformis,hypsiboas,lanciformis,5e66fa5f-0e7f-4150-920b-4fd48f73ee52,hylidae,hypsiboas,lanciformis,-3.3666667,-72.9,?,1,1,1,?,?,?,1,?,?,?,,,
VTO:0011674,Lemur catta,lemur,catta,40180f85-3043-440c-9f03-0b9b7884ee78,lemuridae,lemur,catta,-25.0,46.3,1,1,1,1,1,1,?,?,1,?,?,,,
VTO:0011674,Lemur catta,lemur,catta,3d391fad-efc5-4d38-bc4a-83bb0ca23741,lemuridae,lemur,catta,-25.0,46.3,1,1,1,1,1,1,?,?,1,?,?,,,
VTO:0007379,Anaxyrus exsul,anaxyrus,exsul,c24b94fe-4f68-414b-8bee-9c6f454bfdc0,bufonidae,anaxyrus,exsul,37.0,-118.0,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0007309,Bufo bufo,bufo,bufo,051eacc4-5bba-43aa-a264-d13a0505b397,bufonidae,bufo,bufo,-23.8534667,-64.4188833,?,?,?,?,?,?,?,?,1,?,?,,,
