matrix_taxon, vto, ott_id
"Scyliorhinus retifer", VTO_0000142, ott150264
"Mustelus laevis", VTO_0000462, ott208178
"Cynocephalus volans", VTO_0011618, ott781510
"Cavia porcellus", VTO_0012605, ott744000
"Rattus norvegicus", VTO_0014927, ott182319
"Notopterus notopterus", VTO_0033680, ott904617
"Chitala", VTO_0033681, ott812408
"Scleropages formosus", VTO_0033907, ott335717
"Osteoglossum bicirrhosum", VTO_0033912, ott279997
"Clarotes laticeps", VTO_0035134, ott1083796
"Chrysichthys macropogon", VTO_0035134, ott1083796
"Hoplosternum littorale", VTO_0035433, ott64003
"Hoplosternum thoracatum", VTO_0035433, ott64003
"Callichthys littoralis", VTO_0035433, ott64003
"Channallabes apus", VTO_0035483, ott860973
"Heterobranchus isopterus", VTO_0035489, ott507217
"Heterobranchus longifilis", VTO_0035490, ott507216
"Heterobranchus bidorsalis", VTO_0035492, ott860959
"Clarias senegalensis", VTO_0035540, ott1083808
"Clarias liberiensis", VTO_0035541, ott290625
"Clarias buettikoferi", VTO_0035541, ott290625
"Schilbe intermedius", VTO_0036198, ott877784
"Eutropius depressirostris", VTO_0036198, ott877784
"Pterygoplichthys pardalis", VTO_0036834, ott904626
"Pimephales vigilax", VTO_0039111, ott437012
"Hybopsis amblops", VTO_0040218, ott269514
"Notropis amnis", VTO_0040220, ott264805
"Hybopsis amnis", VTO_0040220, ott264805
"Hybopsis hypsinotus", VTO_0040222, ott477588
"Hybopsis lineapunctata", VTO_0040223, ott477582
"Hybopsis rubrifrons", VTO_0040224, ott264796
"Rhyncocypris variegatus", VTO_0040304, ott581764
"Notropis sabinae", VTO_0040397, ott280276
"Hybopsis sabinae", VTO_0040397, ott280276
"Notropis shumardi", VTO_0040399, ott570974
"Notropis longirostris", VTO_0040405, ott280272
"Hybopsis longirostris", VTO_0040405, ott280272
"Notropis potteri", VTO_0040408, ott570943
"Notropis blennius", VTO_0040410, ott419165
"Notothenia rossii marmorata", VTO_0043687, ott598964
"Notothenia kempi", VTO_0043696, ott598968
"Pleuragramma", VTO_0043720, ott303034
"Indonotothenia", VTO_0043722, ott303037
"Aethotaxis", VTO_0043724, ott598973
"Aethotaxis mitopteryx", VTO_0043725, ott303038
"Polyprionidae", VTO_0045052, ott614519
"Acropomatidae", VTO_0045921, ott85219
"Oryzias curvinotus", VTO_0055089, ott281049
"Oryzias luzonensis", VTO_0055090, ott281051
"Belonian apodian", VTO_0055134, ott832867
"Reinhardtius hippoglossoides", VTO_0055688, ott835141
"Hoplostethus mediterraneus", VTO_0056297, ott353802
"Rivulus breviceps", VTO_0071062, ott513630
"Rhinochimaeridae", VTO_0000012, ott194656
"Rhinochimaera", VTO_0000013, ott886233
"Pseudotriakidae", VTO_0000481, ott456197
"Pseudotriakis microdon", VTO_0000483, ott456205
"Orectolobidae", VTO_0000485, ott572732
"Orectolobus", VTO_0000488, ott572734
"Chiloscyllium punctatum", VTO_0000524, ott364162
"Hemiscyllium ocellatum", VTO_0000526, ott516305
"Somniosus", VTO_0000551, ott442056
"Dalatiidae", VTO_0000593, ott250746
"Dalatiines", VTO_0000593, ott250746
"Dalatias licha", VTO_0000602, ott1027232
"Centrophoridae", VTO_0000603, ott852403
"Deania", VTO_0000604, ott1027217
"Centrophorus", VTO_0000612, ott124071
"Centroscyllium", VTO_0000659, ott671638
"Squatina californica", VTO_0000715, ott1095501
"Heptranchias", VTO_0000756, ott754112
"Heptranchias perlo", VTO_0000757, ott281365
"Mystus guttatus", VTO_0035079, ott734370
"Mystus nemurus", VTO_0035081, ott101242
"Mystus johorensis", VTO_0035081, ott101242
"Mystus pahangensis", VTO_0035081, ott101242
"Pseudobagrus taeniatus", VTO_0035101, ott83901
"Pseudobagrus truncatus", VTO_0035103, ott203407
"Aorichthys seenghala", VTO_0035136, ott250296
"Mystus malabaricus", VTO_0035144, ott394569
"Mystus cavasius", VTO_0035145, ott394571
"Callichthys callichthys", VTO_0035201, ott267124
"Aspidoras fuscoguttatus", VTO_0035205, ott216141
"Aspidoras poecilus", VTO_0035206, ott216133
"Corydoras flaveolus", VTO_0035381, ott267117
"Corydoras paleatus", VTO_0035382, ott267119
"Corydoras triseriatus", VTO_0035383, ott267111
"Corydoras nattereri", VTO_0035383, ott267111
"Corydoras ehrhardti", VTO_0035384, ott267114
"Corydoras aeneus", VTO_0035385, ott841718
"Corydoras metae", VTO_0035386, ott841715
"Corydoras sodalis", VTO_0035388, ott841701
"Corydoras difluviatilis", VTO_0035389, ott841713
"Corydoras rabauti", VTO_0035423, ott499194
"Scleromystax macropterus", VTO_0035438, ott216128
"Scleromystax barbatus II", VTO_0035441, ott841695
"Scleromystax barbatus I", VTO_0035441, ott841695
"Corydoras barbatus", VTO_0035441, ott841695
"Brochis splendens", VTO_0035452, ott841707
"Corydoras splendens", VTO_0035452, ott841707
"Megalechis thoracata", VTO_0035454, ott1094976
"Megalechis personata", VTO_0035454, ott1094976
"Clarias melasoma", VTO_0035520, ott1091653
"Clarias meladerma", VTO_0035520, ott1091653
"Clarias ngamensis", VTO_0035530, ott1094712
"Clarias gariepinus", VTO_0035533, ott240811
"Cranoglanis bouderius", VTO_0035547, ott261881
"Cranoglanis sinensis", VTO_0035547, ott261881
"Liobagrus anguillicauda", VTO_0035568, ott261879
"Pimelodella cristata", VTO_0035619, ott1090792
"Imparfinis lineatus", VTO_0035662, ott512357
"Cathorops spp.", VTO_0035691, ott704274
"Aelurichthys panamensis", VTO_0035725, ott704253
"Bagre marinus", VTO_0035726, ott181363
"Aelurichthys bahiensis", VTO_0035726, ott181363
"Galeichthys eigenmanni", VTO_0035841, ott704267
"Silurus soldatovi meridionalis", VTO_0036129, ott575079
"Silurus cochinchinensis", VTO_0036152, ott203412
"Pterocryptis cochinchinensis", VTO_0036152, ott203412
"Parasilurus cochinchinensis", VTO_0036152, ott203412
"Ompok bimaculatus", VTO_0036165, ott670820
"Ompok siluroides", VTO_0036165, ott670820
"Nematogenys inermis", VTO_0036174, ott1074074
"Noturus elegans", VTO_0036252, ott411931
"Noturus albater", VTO_0036253, ott676110
"Noturus eleutherus", VTO_0036254, ott411926
"Noturus flavater", VTO_0036257, ott411923
"Noturus miurus", VTO_0036259, ott282530
"Noturus stigmosus", VTO_0036261, ott903466
"Noturus flavus", VTO_0036263, ott101864
"Ameiurus melas", VTO_0036272, ott343941
"Ictalurus melas", VTO_0036272, ott343941
"Ameiurus brunneus", VTO_0036273, ott343933
"Ameiurus platycephalus", VTO_0036276, ott1070418
"Ameiurus serracanthus", VTO_0036277, ott1070414
"Plotosus lineatus", VTO_0036304, ott949069
"Phractocephalus hemioliopterus", VTO_0036332, ott186917
"Phractocephalus hemiliopterus", VTO_0036332, ott186917
"Rhamdia guatemalensis", VTO_0036335, ott195322
"Rhamdia quelen", VTO_0036338, ott730419
"Rhamdia hilarii", VTO_0036338, ott730419
