 "matrix_taxon" , "vto" , "vto_label" , "collection" , "catNum" ,
 "Scyliorhinus retifer" , "http://purl.obolibrary.org/obo/VTO_0000142" , "Scyliorhinus retifer" , "AMNH" , "36777" ,
 "Mustelus laevis" , "http://purl.obolibrary.org/obo/VTO_0000462" , "Mustelus mustelus" , "AMNH" , "4138" ,
 "Channallabes apus" , "http://purl.obolibrary.org/obo/VTO_0035483" , "Channallabes apus" , "AMNH" , "6631" ,
 "Heterobranchus isopterus" , "http://purl.obolibrary.org/obo/VTO_0035489" , "Heterobranchus isopterus" , "AMNH" , "32759" ,
 "Heterobranchus longifilis" , "http://purl.obolibrary.org/obo/VTO_0035490" , "Heterobranchus longifilis" , "AMNH" , "3054" ,
 "Heterobranchus longifilis" , "http://purl.obolibrary.org/obo/VTO_0035490" , "Heterobranchus longifilis" , "AMNH" , "21980" ,
 "Pseudotriakis microdon" , "http://purl.obolibrary.org/obo/VTO_0000483" , "Pseudotriakis microdon" , "AMNH" , "71984" ,
 "Chiloscyllium punctatum" , "http://purl.obolibrary.org/obo/VTO_0000524" , "Chiloscyllium punctatum" , "AMNH" , "44013" ,
 "Hemiscyllium ocellatum" , "http://purl.obolibrary.org/obo/VTO_0000526" , "Hemiscyllium ocellatum" , "AMNH" , "38151" ,
 "Dalatias licha" , "http://purl.obolibrary.org/obo/VTO_0000602" , "Dalatias licha" , "AMNH" , "19446" ,
 "Squatina californica" , "http://purl.obolibrary.org/obo/VTO_0000715" , "Squatina californica" , "AMNH" , "55686" ,
 "Heptranchias perlo" , "http://purl.obolibrary.org/obo/VTO_0000757" , "Heptranchias perlo" , "AMNH" , "217961" ,
 "Clarotes laticeps" , "http://purl.obolibrary.org/obo/VTO_0035134" , "Clarotes laticeps" , "BMNH" , "1971.3.22:48" ,
 "Clarotes laticeps" , "http://purl.obolibrary.org/obo/VTO_0035134" , "Clarotes laticeps" , "BMNH" , "1971.3.22:49" ,
 "Clarotes laticeps" , "http://purl.obolibrary.org/obo/VTO_0035134" , "Clarotes laticeps" , "BMNH" , "1971.3.22:50" ,
 "Clarotes laticeps" , "http://purl.obolibrary.org/obo/VTO_0035134" , "Clarotes laticeps" , "BMNH" , "1971.3.22:51" ,
 "Clarotes laticeps" , "http://purl.obolibrary.org/obo/VTO_0035134" , "Clarotes laticeps" , "BMNH" , "1971.3.22:52" ,
 "Clarotes laticeps" , "http://purl.obolibrary.org/obo/VTO_0035134" , "Clarotes laticeps" , "BMNH" , "1971.3.22:53" ,
 "Chrysichthys macropogon" , "http://purl.obolibrary.org/obo/VTO_0035134" , "Clarotes laticeps" , "BMNH" , "1928" ,
 "Clarotes laticeps" , "http://purl.obolibrary.org/obo/VTO_0035134" , "Clarotes laticeps" , "BMNH" , "1951.4" ,
 "Clarotes laticeps" , "http://purl.obolibrary.org/obo/VTO_0035134" , "Clarotes laticeps" , "BMNH" , "1907" ,
 "Clarotes laticeps" , "http://purl.obolibrary.org/obo/VTO_0035134" , "Clarotes laticeps" , "BMNH" , "uncat." ,
 "Callichthys littoralis" , "http://purl.obolibrary.org/obo/VTO_0035433" , "Hoplosternum littorale" , "BMNH" , "58.11.5:1" ,
 "Heterobranchus longifilis" , "http://purl.obolibrary.org/obo/VTO_0035490" , "Heterobranchus longifilis" , "BMNH" , "1902.11.10:120-125" ,
 "Heterobranchus longifilis" , "http://purl.obolibrary.org/obo/VTO_0035490" , "Heterobranchus longifilis" , "BMNH" , "1902.11.10:121" ,
 "Heterobranchus longifilis" , "http://purl.obolibrary.org/obo/VTO_0035490" , "Heterobranchus longifilis" , "BMNH" , "1902.11.10:122" ,
 "Heterobranchus longifilis" , "http://purl.obolibrary.org/obo/VTO_0035490" , "Heterobranchus longifilis" , "BMNH" , "1902.11.10:123" ,
 "Heterobranchus longifilis" , "http://purl.obolibrary.org/obo/VTO_0035490" , "Heterobranchus longifilis" , "BMNH" , "1902.11.10:120" ,
 "Heterobranchus longifilis" , "http://purl.obolibrary.org/obo/VTO_0035490" , "Heterobranchus longifilis" , "BMNH" , "1902.11.10:124" ,
 "Heterobranchus longifilis" , "http://purl.obolibrary.org/obo/VTO_0035490" , "Heterobranchus longifilis" , "BMNH" , "1902.11.10:125" ,
 "Heterobranchus bidorsalis" , "http://purl.obolibrary.org/obo/VTO_0035492" , "Heterobranchus bidorsalis" , "BMNH" , "1907.12.2:3760" ,
 "Eutropius depressirostris" , "http://purl.obolibrary.org/obo/VTO_0036198" , "Schilbe intermedius" , "BMNH" , "1907.4.29:136" ,
 "Pterygoplichthys pardalis" , "http://purl.obolibrary.org/obo/VTO_0036834" , "Pterygoplichthys pardalis" , "CAS" , "77274" ,
 "Schilbe intermedius" , "http://purl.obolibrary.org/obo/VTO_0036198" , "Schilbe intermedius" , "CU" , "88310" ,
 "Platydoras costatus" , "http://purl.obolibrary.org/obo/VTO_0036686" , "Platydoras costatus" , "DU" , "F1106" ,
 "Clarias liberiensis" , "http://purl.obolibrary.org/obo/VTO_0035541" , "Clarias buettikoferi" , "FMNH" , "50272" ,
 "Pterygoplichthys pardalis" , "http://purl.obolibrary.org/obo/VTO_0036834" , "Pterygoplichthys pardalis" , "FMNH" , "101384" ,
 "Pterygoplichthys pardalis" , "http://purl.obolibrary.org/obo/VTO_0036834" , "Pterygoplichthys pardalis" , "FMNH" , "95546" ,
 "Hoplosternum littorale" , "http://purl.obolibrary.org/obo/VTO_0035433" , "Hoplosternum littorale" , "INHS" , "69360" ,
 "Pimephales vigilax" , "http://purl.obolibrary.org/obo/VTO_0039111" , "Pimephales vigilax" , "KU" , "16388" ,
 "Hybopsis amblops" , "http://purl.obolibrary.org/obo/VTO_0040218" , "Hybopsis amblops" , "KU" , "6318" ,
 "Hybopsis amblops" , "http://purl.obolibrary.org/obo/VTO_0040218" , "Hybopsis amblops" , "KU" , "16556" ,
 "Hybopsis hypsinotus" , "http://purl.obolibrary.org/obo/VTO_0040222" , "Hybopsis hypsinotus" , "KU" , "18968" ,
 "Hybopsis hypsinotus" , "http://purl.obolibrary.org/obo/VTO_0040222" , "Hybopsis hypsinotus" , "KU" , "20034" ,
 "Hybopsis lineapunctata" , "http://purl.obolibrary.org/obo/VTO_0040223" , "Hybopsis lineapunctata" , "KU" , "18885" ,
 "Hybopsis rubrifrons" , "http://purl.obolibrary.org/obo/VTO_0040224" , "Hybopsis rubrifrons" , "KU" , "8829" ,
 "Hybopsis sabinae" , "http://purl.obolibrary.org/obo/VTO_0040397" , "Notropis sabinae" , "KU" , "6237" ,
 "Hybopsis sabinae" , "http://purl.obolibrary.org/obo/VTO_0040397" , "Notropis sabinae" , "KU" , "9480" ,
 "Hybopsis sabinae" , "http://purl.obolibrary.org/obo/VTO_0040397" , "Notropis sabinae" , "KU" , "19673" ,
