"matrix_taxon","vto","vto_label"
"Scyliorhinus retifer","http://purl.obolibrary.org/obo/VTO_0000142","Scyliorhinus retifer"
"Mustelus laevis","http://purl.obolibrary.org/obo/VTO_0000462","Mustelus mustelus"
"Cynocephalus volans","http://purl.obolibrary.org/obo/VTO_0011618","Cynocephalus volans"
"Cavia porcellus","http://purl.obolibrary.org/obo/VTO_0012605","Cavia porcellus"
"Rattus norvegicus","http://purl.obolibrary.org/obo/VTO_0014927","Rattus norvegicus"
"Notopterus notopterus","http://purl.obolibrary.org/obo/VTO_0033680","Notopterus notopterus"
"Chitala","http://purl.obolibrary.org/obo/VTO_0033681","Chitala"
"Scleropages formosus","http://purl.obolibrary.org/obo/VTO_0033907","Scleropages formosus"
"Osteoglossum bicirrhosum","http://purl.obolibrary.org/obo/VTO_0033912","Osteoglossum bicirrhosum"
"Clarotes laticeps","http://purl.obolibrary.org/obo/VTO_0035134","Clarotes laticeps"
"Chrysichthys macropogon","http://purl.obolibrary.org/obo/VTO_0035134","Clarotes laticeps"
"Hoplosternum littorale","http://purl.obolibrary.org/obo/VTO_0035433","Hoplosternum littorale"
"Hoplosternum thoracatum","http://purl.obolibrary.org/obo/VTO_0035433","Hoplosternum littorale"
"Callichthys littoralis","http://purl.obolibrary.org/obo/VTO_0035433","Hoplosternum littorale"
"Channallabes apus","http://purl.obolibrary.org/obo/VTO_0035483","Channallabes apus"
"Heterobranchus isopterus","http://purl.obolibrary.org/obo/VTO_0035489","Heterobranchus isopterus"
"Heterobranchus longifilis","http://purl.obolibrary.org/obo/VTO_0035490","Heterobranchus longifilis"
"Heterobranchus bidorsalis","http://purl.obolibrary.org/obo/VTO_0035492","Heterobranchus bidorsalis"
"Clarias senegalensis","http://purl.obolibrary.org/obo/VTO_0035540","Clarias anguillaris"
"Clarias liberiensis","http://purl.obolibrary.org/obo/VTO_0035541","Clarias buettikoferi"
"Clarias buettikoferi","http://purl.obolibrary.org/obo/VTO_0035541","Clarias buettikoferi"
"Schilbe intermedius","http://purl.obolibrary.org/obo/VTO_0036198","Schilbe intermedius"
"Eutropius depressirostris","http://purl.obolibrary.org/obo/VTO_0036198","Schilbe intermedius"
"Pterygoplichthys pardalis","http://purl.obolibrary.org/obo/VTO_0036834","Pterygoplichthys pardalis"
"Pimephales vigilax","http://purl.obolibrary.org/obo/VTO_0039111","Pimephales vigilax"
"Hybopsis amblops","http://purl.obolibrary.org/obo/VTO_0040218","Hybopsis amblops"
"Notropis amnis","http://purl.obolibrary.org/obo/VTO_0040220","Hybopsis amnis"
"Hybopsis amnis","http://purl.obolibrary.org/obo/VTO_0040220","Hybopsis amnis"
"Hybopsis hypsinotus","http://purl.obolibrary.org/obo/VTO_0040222","Hybopsis hypsinotus"
"Hybopsis lineapunctata","http://purl.obolibrary.org/obo/VTO_0040223","Hybopsis lineapunctata"
"Hybopsis rubrifrons","http://purl.obolibrary.org/obo/VTO_0040224","Hybopsis rubrifrons"
"Rhyncocypris variegatus","http://purl.obolibrary.org/obo/VTO_0040304","Phoxinus oxycephalus"
"Notropis sabinae","http://purl.obolibrary.org/obo/VTO_0040397","Notropis sabinae"
"Hybopsis sabinae","http://purl.obolibrary.org/obo/VTO_0040397","Notropis sabinae"
"Notropis shumardi","http://purl.obolibrary.org/obo/VTO_0040399","Notropis shumardi"
"Notropis longirostris","http://purl.obolibrary.org/obo/VTO_0040405","Notropis longirostris"
"Hybopsis longirostris","http://purl.obolibrary.org/obo/VTO_0040405","Notropis longirostris"
"Notropis potteri","http://purl.obolibrary.org/obo/VTO_0040408","Notropis potteri"
"Notropis blennius","http://purl.obolibrary.org/obo/VTO_0040410","Notropis blennius"
"Notothenia rossii marmorata","http://purl.obolibrary.org/obo/VTO_0043687","Notothenia rossii"
"Notothenia kempi","http://purl.obolibrary.org/obo/VTO_0043696","Lepidonotothen squamifrons"
"Pleuragramma","http://purl.obolibrary.org/obo/VTO_0043720","Pleuragramma"
"Indonotothenia","http://purl.obolibrary.org/obo/VTO_0043722","Indonotothenia"
"Aethotaxis","http://purl.obolibrary.org/obo/VTO_0043724","Aethotaxis"
"Aethotaxis mitopteryx","http://purl.obolibrary.org/obo/VTO_0043725","Aethotaxis mitopteryx"
"Polyprionidae","http://purl.obolibrary.org/obo/VTO_0045052","Polyprionidae"
"Acropomatidae","http://purl.obolibrary.org/obo/VTO_0045921","Acropomatidae"
"Oryzias curvinotus","http://purl.obolibrary.org/obo/VTO_0055089","Oryzias curvinotus"
"Oryzias luzonensis","http://purl.obolibrary.org/obo/VTO_0055090","Oryzias luzonensis"
"Belonian apodian","http://purl.obolibrary.org/obo/VTO_0055134","Belonion apodion"
"Reinhardtius hippoglossoides","http://purl.obolibrary.org/obo/VTO_0055688","Reinhardtius hippoglossoides"
"Hoplostethus mediterraneus","http://purl.obolibrary.org/obo/VTO_0056297","Hoplostethus mediterraneus"
"Rivulus breviceps","http://purl.obolibrary.org/obo/VTO_0071062","Rivulus breviceps"
"Rhinochimaeridae","http://purl.obolibrary.org/obo/VTO_0000012","Rhinochimaeridae"
"Rhinochimaera","http://purl.obolibrary.org/obo/VTO_0000013","Rhinochimaera"
"Pseudotriakidae","http://purl.obolibrary.org/obo/VTO_0000481","Pseudotriakidae"
"Pseudotriakis microdon","http://purl.obolibrary.org/obo/VTO_0000483","Pseudotriakis microdon"
"Orectolobidae","http://purl.obolibrary.org/obo/VTO_0000485","Orectolobidae"
"Orectolobus","http://purl.obolibrary.org/obo/VTO_0000488","Orectolobus"
"Chiloscyllium punctatum","http://purl.obolibrary.org/obo/VTO_0000524","Chiloscyllium punctatum"
"Hemiscyllium ocellatum","http://purl.obolibrary.org/obo/VTO_0000526","Hemiscyllium ocellatum"
"Somniosus","http://purl.obolibrary.org/obo/VTO_0000551","Somniosus"
"Dalatiidae","http://purl.obolibrary.org/obo/VTO_0000593","Dalatiidae"
"Dalatiines","http://purl.obolibrary.org/obo/VTO_0000593","Dalatiidae"
"Dalatias licha","http://purl.obolibrary.org/obo/VTO_0000602","Dalatias licha"
"Centrophoridae","http://purl.obolibrary.org/obo/VTO_0000603","Centrophoridae"
"Deania","http://purl.obolibrary.org/obo/VTO_0000604","Deania"
"Centrophorus","http://purl.obolibrary.org/obo/VTO_0000612","Centrophorus"
"Centroscyllium","http://purl.obolibrary.org/obo/VTO_0000659","Centroscyllium"
"Squatina californica","http://purl.obolibrary.org/obo/VTO_0000715","Squatina californica"
"Heptranchias","http://purl.obolibrary.org/obo/VTO_0000756","Heptranchias"
"Heptranchias perlo","http://purl.obolibrary.org/obo/VTO_0000757","Heptranchias perlo"
"Mystus guttatus","http://purl.obolibrary.org/obo/VTO_0035079","Hemibagrus guttatus"
"Mystus nemurus","http://purl.obolibrary.org/obo/VTO_0035081","Hemibagrus nemurus"
"Mystus johorensis","http://purl.obolibrary.org/obo/VTO_0035081","Hemibagrus nemurus"
"Mystus pahangensis","http://purl.obolibrary.org/obo/VTO_0035081","Hemibagrus nemurus"
"Pseudobagrus taeniatus","http://purl.obolibrary.org/obo/VTO_0035101","Pseudobagrus taeniatus"
"Pseudobagrus truncatus","http://purl.obolibrary.org/obo/VTO_0035103","Pseudobagrus truncatus"
"Aorichthys seenghala","http://purl.obolibrary.org/obo/VTO_0035136","Sperata seenghala"
"Mystus malabaricus","http://purl.obolibrary.org/obo/VTO_0035144","Mystus malabaricus"
