matrix_taxon, vto, vto_label, ott_id
"Scyliorhinus retifer",VTO_0000142,"Scyliorhinus retifer",ott150264
"Mustelus laevis",VTO_0000462,"Mustelus mustelus",ott208178
"Cynocephalus volans",VTO_0011618,"Cynocephalus volans",ott781510
"Cavia porcellus",VTO_0012605,"Cavia porcellus",ott744000
"Rattus norvegicus",VTO_0014927,"Rattus norvegicus",ott182319
"Notopterus notopterus",VTO_0033680,"Notopterus notopterus",ott904617
"Chitala",VTO_0033681,"Chitala",ott812408
"Scleropages formosus",VTO_0033907,"Scleropages formosus",ott335717
"Osteoglossum bicirrhosum",VTO_0033912,"Osteoglossum bicirrhosum",ott279997
"Clarotes laticeps",VTO_0035134,"Clarotes laticeps",ott1083796
"Chrysichthys macropogon",VTO_0035134,"Clarotes laticeps",ott1083796
"Hoplosternum littorale",VTO_0035433,"Hoplosternum littorale",ott64003
"Hoplosternum thoracatum",VTO_0035433,"Hoplosternum littorale",ott64003
"Callichthys littoralis",VTO_0035433,"Hoplosternum littorale",ott64003
"Channallabes apus",VTO_0035483,"Channallabes apus",ott860973
"Heterobranchus isopterus",VTO_0035489,"Heterobranchus isopterus",ott507217
"Heterobranchus longifilis",VTO_0035490,"Heterobranchus longifilis",ott507216
"Heterobranchus bidorsalis",VTO_0035492,"Heterobranchus bidorsalis",ott860959
"Clarias senegalensis",VTO_0035540,"Clarias anguillaris",ott1083808
"Clarias liberiensis",VTO_0035541,"Clarias buettikoferi",ott290625
"Clarias buettikoferi",VTO_0035541,"Clarias buettikoferi",ott290625
"Schilbe intermedius",VTO_0036198,"Schilbe intermedius",ott877784
"Eutropius depressirostris",VTO_0036198,"Schilbe intermedius",ott877784
"Pterygoplichthys pardalis",VTO_0036834,"Pterygoplichthys pardalis",ott904626
"Pimephales vigilax",VTO_0039111,"Pimephales vigilax",ott437012
"Hybopsis amblops",VTO_0040218,"Hybopsis amblops",ott269514
"Notropis amnis",VTO_0040220,"Hybopsis amnis",ott264805
"Hybopsis amnis",VTO_0040220,"Hybopsis amnis",ott264805
"Hybopsis hypsinotus",VTO_0040222,"Hybopsis hypsinotus",ott477588
"Hybopsis lineapunctata",VTO_0040223,"Hybopsis lineapunctata",ott477582
"Hybopsis rubrifrons",VTO_0040224,"Hybopsis rubrifrons",ott264796
"Rhyncocypris variegatus",VTO_0040304,"Phoxinus oxycephalus",ott581764
"Notropis sabinae",VTO_0040397,"Notropis sabinae",ott280276
"Hybopsis sabinae",VTO_0040397,"Notropis sabinae",ott280276
"Notropis shumardi",VTO_0040399,"Notropis shumardi",ott570974
"Notropis longirostris",VTO_0040405,"Notropis longirostris",ott280272
"Hybopsis longirostris",VTO_0040405,"Notropis longirostris",ott280272
"Notropis potteri",VTO_0040408,"Notropis potteri",ott570943
"Notropis blennius",VTO_0040410,"Notropis blennius",ott419165
"Notothenia rossii marmorata",VTO_0043687,"Notothenia rossii",ott598964
"Notothenia kempi",VTO_0043696,"Lepidonotothen squamifrons",ott598968
"Pleuragramma",VTO_0043720,"Pleuragramma",ott303034
"Indonotothenia",VTO_0043722,"Indonotothenia",ott303037
"Aethotaxis",VTO_0043724,"Aethotaxis",ott598973
"Aethotaxis mitopteryx",VTO_0043725,"Aethotaxis mitopteryx",ott303038
"Polyprionidae",VTO_0045052,"Polyprionidae",ott614519
"Acropomatidae",VTO_0045921,"Acropomatidae",ott85219
"Oryzias curvinotus",VTO_0055089,"Oryzias curvinotus",ott281049
"Oryzias luzonensis",VTO_0055090,"Oryzias luzonensis",ott281051
"Belonian apodian",VTO_0055134,"Belonion apodion",ott832867
"Reinhardtius hippoglossoides",VTO_0055688,"Reinhardtius hippoglossoides",ott835141
"Hoplostethus mediterraneus",VTO_0056297,"Hoplostethus mediterraneus",ott353802
"Rivulus breviceps",VTO_0071062,"Rivulus breviceps",ott513630
"Rhinochimaeridae",VTO_0000012,"Rhinochimaeridae",ott194656
"Rhinochimaera",VTO_0000013,"Rhinochimaera",ott886233
"Pseudotriakidae",VTO_0000481,"Pseudotriakidae",ott456197
"Pseudotriakis microdon",VTO_0000483,"Pseudotriakis microdon",ott456205
"Orectolobidae",VTO_0000485,"Orectolobidae",ott572732
"Orectolobus",VTO_0000488,"Orectolobus",ott572734
"Chiloscyllium punctatum",VTO_0000524,"Chiloscyllium punctatum",ott364162
"Hemiscyllium ocellatum",VTO_0000526,"Hemiscyllium ocellatum",ott516305
"Somniosus",VTO_0000551,"Somniosus",ott442056
"Dalatiidae",VTO_0000593,"Dalatiidae",ott250746
"Dalatiines",VTO_0000593,"Dalatiidae",ott250746
"Dalatias licha",VTO_0000602,"Dalatias licha",ott1027232
"Centrophoridae",VTO_0000603,"Centrophoridae",ott852403
"Deania",VTO_0000604,"Deania",ott1027217
"Centrophorus",VTO_0000612,"Centrophorus",ott124071
"Centroscyllium",VTO_0000659,"Centroscyllium",ott671638
"Squatina californica",VTO_0000715,"Squatina californica",ott1095501
"Heptranchias",VTO_0000756,"Heptranchias",ott754112
"Heptranchias perlo",VTO_0000757,"Heptranchias perlo",ott281365
"Mystus guttatus",VTO_0035079,"Hemibagrus guttatus",ott734370
"Mystus nemurus",VTO_0035081,"Hemibagrus nemurus",ott101242
"Mystus johorensis",VTO_0035081,"Hemibagrus nemurus",ott101242
"Mystus pahangensis",VTO_0035081,"Hemibagrus nemurus",ott101242
"Pseudobagrus taeniatus",VTO_0035101,"Pseudobagrus taeniatus",ott83901
"Pseudobagrus truncatus",VTO_0035103,"Pseudobagrus truncatus",ott203407
"Aorichthys seenghala",VTO_0035136,"Sperata seenghala",ott250296
"Mystus malabaricus",VTO_0035144,"Mystus malabaricus",ott394569
"Mystus cavasius",VTO_0035145,"Mystus cavasius",ott394571
"Callichthys callichthys",VTO_0035201,"Callichthys callichthys",ott267124
"Aspidoras fuscoguttatus",VTO_0035205,"Aspidoras fuscoguttatus",ott216141
"Aspidoras poecilus",VTO_0035206,"Aspidoras poecilus",ott216133
"Corydoras flaveolus",VTO_0035381,"Corydoras flaveolus",ott267117
"Corydoras paleatus",VTO_0035382,"Corydoras paleatus",ott267119
"Corydoras triseriatus",VTO_0035383,"Corydoras nattereri",ott267111
"Corydoras nattereri",VTO_0035383,"Corydoras nattereri",ott267111
"Corydoras ehrhardti",VTO_0035384,"Corydoras ehrhardti",ott267114
"Corydoras aeneus",VTO_0035385,"Corydoras aeneus",ott841718
"Corydoras metae",VTO_0035386,"Corydoras metae",ott841715
"Corydoras sodalis",VTO_0035388,"Corydoras sodalis",ott841701
"Corydoras difluviatilis",VTO_0035389,"Corydoras difluviatilis",ott841713
"Corydoras rabauti",VTO_0035423,"Corydoras rabauti",ott499194
"Scleromystax macropterus",VTO_0035438,"Scleromystax macropterus",ott216128
"Scleromystax barbatus II",VTO_0035441,"Scleromystax barbatus",ott841695
"Scleromystax barbatus I",VTO_0035441,"Scleromystax barbatus",ott841695
"Corydoras barbatus",VTO_0035441,"Scleromystax barbatus",ott841695
"Brochis splendens",VTO_0035452,"Brochis splendens",ott841707
"Corydoras splendens",VTO_0035452,"Brochis splendens",ott841707
"Megalechis thoracata",VTO_0035454,"Megalechis thoracata",ott1094976
"Megalechis personata",VTO_0035454,"Megalechis thoracata",ott1094976
"Clarias melasoma",VTO_0035520,"Clarias meladerma",ott1091653
"Clarias meladerma",VTO_0035520,"Clarias meladerma",ott1091653
"Clarias ngamensis",VTO_0035530,"Clarias ngamensis",ott1094712
"Clarias gariepinus",VTO_0035533,"Clarias gariepinus",ott240811
"Cranoglanis bouderius",VTO_0035547,"Cranoglanis bouderius",ott261881
"Cranoglanis sinensis",VTO_0035547,"Cranoglanis bouderius",ott261881
"Liobagrus anguillicauda",VTO_0035568,"Liobagrus anguillicauda",ott261879
"Pimelodella cristata",VTO_0035619,"Pimelodella cristata",ott1090792
"Imparfinis lineatus",VTO_0035662,"Imparfinis lineatus",ott512357
"Cathorops spp.",VTO_0035691,"Cathorops",ott704274
"Aelurichthys panamensis",VTO_0035725,"Bagre panamensis",ott704253
"Bagre marinus",VTO_0035726,"Bagre marinus",ott181363
"Aelurichthys bahiensis",VTO_0035726,"Bagre marinus",ott181363
"Galeichthys eigenmanni",VTO_0035841,"Sciades seemanni",ott704267
"Silurus soldatovi meridionalis",VTO_0036129,"Silurus meridionalis",ott575079
"Silurus cochinchinensis",VTO_0036152,"Pterocryptis cochinchinensis",ott203412
"Pterocryptis cochinchinensis",VTO_0036152,"Pterocryptis cochinchinensis",ott203412
"Parasilurus cochinchinensis",VTO_0036152,"Pterocryptis cochinchinensis",ott203412
"Ompok bimaculatus",VTO_0036165,"Ompok bimaculatus",ott670820
"Ompok siluroides",VTO_0036165,"Ompok bimaculatus",ott670820
"Nematogenys inermis",VTO_0036174,"Nematogenys inermis",ott1074074
"Noturus elegans",VTO_0036252,"Noturus elegans",ott411931
"Noturus albater",VTO_0036253,"Noturus albater",ott676110
"Noturus eleutherus",VTO_0036254,"Noturus eleutherus",ott411926
"Noturus flavater",VTO_0036257,"Noturus flavater",ott411923
"Noturus miurus",VTO_0036259,"Noturus miurus",ott282530
"Noturus stigmosus",VTO_0036261,"Noturus stigmosus",ott903466
"Noturus flavus",VTO_0036263,"Noturus flavus",ott101864
"Ameiurus melas",VTO_0036272,"Ameiurus melas",ott343941
"Ictalurus melas",VTO_0036272,"Ameiurus melas",ott343941
"Ameiurus brunneus",VTO_0036273,"Ameiurus brunneus",ott343933
"Ameiurus platycephalus",VTO_0036276,"Ameiurus platycephalus",ott1070418
"Ameiurus serracanthus",VTO_0036277,"Ameiurus serracanthus",ott1070414
"Plotosus lineatus",VTO_0036304,"Plotosus lineatus",ott949069
